name,id,author,source,sourcetype,separator,supported_TA_name,supported_TA_version,supported_TA_url,description
ASL AWS CloudTrail,1dcf9cfb-0e91-44c6-81b3-61b2574ec898,"Patrick Bareiss, Splunk",aws_asl,aws:asl,api.operation,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Represents AWS API dataset data collection from Amazon Security Lake.
AWS Cloudfront,780086dc-2384-45b6-ade7-56cb00105464,"Patrick Bareiss, Splunk",aws,aws:cloudfront:accesslogs,,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs requests made to AWS CloudFront distributions, including details on client access, response data, and performance metrics."
AWS CloudTrail,e8ace6db-1dbd-4c72-a1fb-334684619a38,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,All AWS CloudTrail events
AWS CloudTrail AssumeRoleWithSAML,1e28f2a6-2db9-405f-b298-18734a293f77,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs attempts to assume roles via SAML authentication in AWS, including details of identity provider and role mapping."
AWS CloudTrail ConsoleLogin,b68b3f26-bd21-4fa8-b593-616fe75ac0ae,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs attempts to sign in to the AWS Management Console, including successful and failed login events."
AWS CloudTrail CopyObject,965083f4-64a8-403f-99cc-252e1a6bd3b6,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs operations that copy objects within or between AWS S3 buckets, including details of source and destination."
AWS CloudTrail CreateAccessKey,0460f7da-3254-4d90-b8c0-2ca657d0cea0,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new AWS access keys, including details of the associated user and permissions."
AWS CloudTrail CreateKey,fcfc1593-b6b5-4a0f-91c5-3c395116a8b9,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new AWS KMS keys, including details of key properties and associated metadata."
AWS CloudTrail CreateLoginProfile,0024fdb1-0d62-4449-970a-746952cf80b6,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of login profiles for IAM users, including associated metadata and authentication settings."
AWS CloudTrail CreateNetworkAclEntry,45934028-10ec-4ab5-a7b1-a6349b833e67,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new entries in a network ACL, including rules to allow or deny specific network traffic."
AWS CloudTrail CreatePolicyVersion,f9f0f3da-37ec-4164-9ea0-0ae46645a86b,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new versions of IAM policies, including changes to permissions and attached roles or resources."
AWS CloudTrail CreateSnapshot,514135a2-f4b2-4d32-8f31-d87824887f9f,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of a new snapshot of a cloud resource, such as an Amazon EBS volume, including details about the snapshot ID and resource type."
AWS CloudTrail CreateTask,6501e4fe-05b2-45f1-bd51-9e06a94fa7d9,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of a new task in AWS services, such as ECS, including details about the task definition and resource allocation."
AWS CloudTrail CreateVirtualMFADevice,13e6e952-0dad-4190-865c-fb5911725f7a,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of a new virtual multi-factor authentication (MFA) device, including details about the associated user and configuration."
AWS CloudTrail DeactivateMFADevice,7397a10b-1150-4de9-8062-a96454ae53b2,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deactivation of a multi-factor authentication (MFA) device, including details about the associated user and the device."
AWS CloudTrail DeleteAccountPasswordPolicy,b0730ac8-0992-4de8-b000-2c7d0fc7a67f,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of an account-level password policy in AWS, including details about the account and policy being removed."
AWS CloudTrail DeleteAlarms,b0730ac8-0992-4de8-b000-2c7d0fc7a61f,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of CloudWatch alarms, including details about the alarm names and associated monitoring configurations."
AWS CloudTrail DeleteDetector,5d8bd475-c8bc-4447-b27f-efa508728b90,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of an Amazon GuardDuty detector, including details about the detector ID and associated configurations."
AWS CloudTrail DeleteGroup,c95308a4-a943-42ca-b112-f90a05c21bd3,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of an IAM group in AWS, including details about the group name and its associated policies or members."
AWS CloudTrail DeleteGuardrail,2f6e9d7a-1c53-48b1-be57-33a91e0f8c42,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a guardrail is deleted within the AWS CloudTrail.
AWS CloudTrail DeleteIPSet,ebdeeb63-77a0-4808-a6fe-549956731377,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of an IP set in AWS WAF or GuardDuty, including details about the IP set ID and its associated configurations."
AWS CloudTrail DeleteKnowledgeBase,a8c47f25-5693-4d1a-9f8b-6e94d15ac2d9,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a knowledge base is deleted within the AWS CloudTrail.
AWS CloudTrail DeleteLoggingConfiguration,24a28726-28f3-4537-a953-71bfbbc3b831,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Data source object for AWS CloudTrail DeleteLoggingConfiguration
AWS CloudTrail DeleteLogGroup,60cf6a69-fa43-4a6c-8808-e9fb46bf387f,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of a CloudWatch log group, including details about the log group name and associated resources."
AWS CloudTrail DeleteLogStream,6f8bb808-89f8-465e-a34d-229df2f46402,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of a log stream within a CloudWatch log group, including details about the stream name and associated log group."
AWS CloudTrail DeleteModelInvocationLoggingConfiguration,fe2b3a52-1c8d-4e17-9f74-76c531a87e21,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a model invocation logging configuration is deleted within the AWS CloudTrail.
AWS CloudTrail DeleteNetworkAclEntry,a0dd0f10-cc03-425d-bd5a-e1e0d954b856,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of a network ACL entry in AWS, including details about the rule number and associated network ACL."
AWS CloudTrail DeletePolicy,d190d23a-2c59-4a0e-9c55-a53ebef28ee5,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of an IAM policy in AWS, including details about the policy name and its associated roles or users."
AWS CloudTrail DeleteRule,b5760623-f3ca-492d-a372-d5c2b3567dfc,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of an event rule in AWS EventBridge, including details about the rule name and its associated targets or schedules."
AWS CloudTrail DeleteRuleGroup,21c9b538-fa11-4bdf-9138-0dfe06b4d730,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Data source object for AWS CloudTrail DeleteRuleGroup
AWS CloudTrail DeleteSnapshot,b0731ac8-0992-4de8-b000-2c7d0fc2a61f,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of a cloud resource snapshot, such as an Amazon EBS snapshot, including details about the snapshot ID and associated resource."
AWS CloudTrail DeleteTrail,a5af09ff-07b6-4df6-92a0-2146bfe402c8,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the deletion of an AWS CloudTrail trail, including details about the trail name and its associated logging configurations."
AWS CloudTrail DeleteVirtualMFADevice,84a08d6b-3d59-4260-8cab-84278ada262f,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a virtual Multi-Factor Authentication (MFA) device is deleted in AWS CloudTrail.
AWS CloudTrail DeleteWebACL,90da5f08-7961-4c29-8de8-01364982aadf,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a Web Access Control List (WebACL) is deleted in AWS CloudTrail.
AWS CloudTrail DescribeEventAggregates,7efe4afe-62ae-4f96-81d1-76598ea37fc2,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs an event when aggregate details about AWS events are queried, often for analysis."
AWS CloudTrail DescribeImageScanFindings,688ea789-9ba2-4970-90a2-17e541e273c9,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when findings from an image vulnerability scan are described using the DescribeImageScanFindings operation in AWS CloudTrail.
AWS CloudTrail DescribeSnapshotAttribute,f054c99b-63b8-4236-8a62-b52fbbabacba,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Data source object for AWS CloudTrail DescribeSnapshotAttribute
AWS CloudTrail GetAccountPasswordPolicy,439bdc53-6e4b-4cd7-b326-86c7317fd396,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a request is made to get the account password policy in AWS CloudTrail.
AWS CloudTrail GetObject,5063cb10-84c0-44af-ade4-ab9ecad11dfe,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a request is made to access an object stored in an AWS S3 bucket.
AWS CloudTrail GetPasswordData,6ff2ce99-85b1-4c17-888a-56dbc3570671,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a request is made to retrieve the administrator password of an EC2 instance.
AWS CloudTrail InvokeModel,5d92a1b6-3e78-4ff2-be83-7a4c01f9df6c,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a model is invoked within the AWS CloudTrail.
AWS CloudTrail JobCreated,6473289b-d097-4c86-a837-3cc5ae408155,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a new job is created in AWS CloudTrail.
AWS CloudTrail ListFoundationModels,e7f31c68-84b9-4d21-a8c5-ec9d2fb3a457,"Bhavin Patel, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a list of foundation models is requested within the AWS CloudTrail.
AWS CloudTrail ModifyDBInstance,bfa2912d-1a33-4b05-be46-543874d68241,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs an event when a modification is made to an AWS database instance, such as parameters or configurations."
AWS CloudTrail ModifyImageAttribute,667c2115-8082-419e-b541-8150066bda4d,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when the attributes of an Amazon Machine Image (AMI) are modified.
AWS CloudTrail ModifySnapshotAttribute,7e5aa947-3a0d-4ee5-b800-0c10b555da05,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when modifications are made to the attributes of a snapshot in AWS CloudTrail.
AWS CloudTrail PutBucketAcl,28fffbfd-d98d-4a42-990b-b04ab47422eb,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when an ACL is set or modified for an S3 bucket in AWS CloudTrail.
AWS CloudTrail PutBucketLifecycle,1c73e954-87b6-4bd7-ac6a-5db7c4082b22,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a lifecycle configuration is added to an S3 bucket in AWS CloudTrail.
AWS CloudTrail PutBucketReplication,0e1362eb-e592-419f-8fa5-556d3a122417,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when replication configurations are added or modified for an S3 bucket.
AWS CloudTrail PutBucketVersioning,17b2fc7d-c8ce-487c-8815-f9a65a09e980,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when the bucket versioning state is modified in an AWS S3 bucket.
AWS CloudTrail PutImage,bb13f10d-0d8c-4fde-9136-b7cfd930e87c,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a container image is uploaded to a repository in AWS CloudTrail.
AWS CloudTrail PutKeyPolicy,9c54c86b-43b9-4bb8-915d-6838beb7f07c,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs changes made to AWS Key Management Service (KMS) key policies, including updates and permission assignments."
AWS CloudTrail ReplaceNetworkAclEntry,db0c240e-3754-40e4-86ef-cde018ee9f65,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a network ACL entry is replaced within the AWS CloudTrail.
AWS CloudTrail SetDefaultPolicyVersion,06e0b5a0-8d36-485e-befc-4ae79d77ef6c,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when the default version of a resource policy in AWS is set or changed.
AWS CloudTrail StopLogging,c5de7c54-4809-4659-bf9f-3bacf8bdfd35,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs an event when a cloud service in AWS, such as CloudTrail, is deactivated or stopped."
AWS CloudTrail UpdateAccountPasswordPolicy,35a8cc97-3600-40e1-a5d1-1c2ad5060be0,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when an AWS account's password policy is updated.
AWS CloudTrail UpdateLoginProfile,1db79158-e5d3-4d35-9d3c-586e44e09f1c,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when an IAM user's login profile is updated.
AWS CloudTrail UpdateSAMLProvider,e5eb628d-711e-499c-87d9-8fa5dee419ec,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when a SAML provider is updated in AWS.
AWS CloudTrail UpdateTrail,d5b7a1eb-711a-4c96-aa93-235fe3c8a939,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs an event when an AWS CloudTrail trail is updated, typically involving changes to settings or configuration."
AWS CloudWatchLogs VPCflow,38a34fc4-e128-4478-a8f4-7835d51d5135,"Bhavin Patel, Splunk",aws_cloudwatchlogs_vpcflow,aws:cloudwatchlogs:vpcflow,,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs an event when network traffic flow information such as source and destination IPs, ports, protocol, and action (allow/deny) is captured for VPC in AWS."
AWS Security Hub,b02bfbf3-294f-478e-99a1-e24b8c692d7e,"Patrick Bareiss, Splunk",aws_securityhub_finding,aws:securityhub:finding,,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Logs an event when AWS Security Hub identifies potential security risks or deviations from configured best practices across AWS accounts.
Azure Active Directory,51ca21e5-bda2-4652-bb29-27c7bc18a81c,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,All Azure Active Directory events
Azure Active Directory Add app role assignment to service principal,8b2e84cd-6db0-47e9-badc-75c17df1995f,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs the addition of an application role assignment to a service principal in Azure Active Directory, including details about the role, service principal, and the user or process performing the action."
Azure Active Directory Add member to role,1660d196-127f-4678-81b2-472d51711b07,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs the addition of a member to a directory role in Azure Active Directory, including details about the role, the member added, and the user or process performing the action."
Azure Active Directory Add owner to application,e895ed56-7be4-4b3a-b782-ecd0f594ec4c,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs the addition of an owner to an application in Azure Active Directory, including details about the application, the owner added, and the user or process performing the action."
Azure Active Directory Add service principal,fd89d337-e4c0-4162-ad13-bca36f096fe6,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs the creation of a new service principal in Azure Active Directory, including details about the service principal, associated application, and the user or process performing the action."
Azure Active Directory Add unverified domain,d4c01fb1-3b88-46d3-bd12-9b9e256450f7,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs the addition of an unverified domain to Azure Active Directory, including details about the domain name and the user or process performing the action."
Azure Active Directory Consent to application,4c5d6c49-53e3-4980-a4de-c63e26291ed0,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs user or admin consent to an application's permissions in Azure Active Directory, including details about the application, granted permissions, and the consenting user or process."
Azure Active Directory Disable Strong Authentication,8f31966d-c496-496d-8837-f7fd11f31255,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,Logs an event when strong authentication methods are disabled in Azure Active Directory.
Azure Active Directory Enable account,cb49f3cd-04ad-415c-a5ed-9b27b2829fa7,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,Logs an event when an Azure Active Directory account is enabled.
Azure Active Directory Invite external user,d3818bd5-f283-4518-8b67-df19240c3e40,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,Logs an event when an external user is invited to join an Azure Active Directory tenant.
Azure Active Directory MicrosoftGraphActivityLogs,63ff93ba-2bbb-4542-8773-239bf5266367,"Bhavin Patel, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,Data source object for Azure Active Directory MicrosoftGraphActivityLogs
Azure Active Directory NonInteractiveUserSignInLogs,11fe8a43-164d-47e4-b542-afc2f242068b,"Bhavin Patel, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,Data source object for Azure Active Directory NonInteractiveUserSignInLogs
Azure Active Directory Reset password (by admin),dcd0e4dc-68f8-4b77-a66f-89c57b3afa6b,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,Logs an event when an admin resets a user's password in Azure Active Directory.
Azure Active Directory Set domain authentication,e7bcdab9-908c-40ab-ba38-5db54fa87750,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,Logs an event when the authentication method for a domain in Azure Active Directory is set or modified.
Azure Active Directory Sign-in activity,f9ed0a3a-9e20-4198-a035-d0a29593fbe0,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs an event when a user attempts to sign into Azure Active Directory, capturing authentication details and outcomes."
Azure Active Directory Update application,2c08188a-ba25-496e-87c7-803cf28b6c90,"Patrick Bareiss, Splunk",Azure AD,azure:monitor:aad,operationName,Splunk Add-on for Microsoft Cloud Services,5.6.0,https://splunkbase.splunk.com/app/3110,"Logs an event when an application in Azure Active Directory is updated, such as changes to its settings or permissions."
